lex	/\	Conj	answers:0	match [1] { [x /\ String] => { @"out"!("matched") } } | @"ctl"!("ran")
lex	\/	Disj	answers:1	match [1] { [x \/ String] => { @"out"!("matched") } } | @"ctl"!("ran")
lex	...	Ellipsis	value:{"ExprString":"matched"}	new c in { @"c"!([1, 2]) | for (@[1, ..._] <- @"c") { @"out"!("matched") } } | @"ctl"!("ran")
lex	*	Star	value:{"ExprInt":6}	@"out"!(2 * 3) | @"ctl"!("ran")
lex	/	Slash	value:{"ExprInt":3}	@"out"!(6 / 2) | @"ctl"!("ran")
lex	%	Percent	value:{"ExprInt":1}	@"out"!(5 % 2) | @"ctl"!("ran")
lex	+	Plus	value:{"ExprInt":3}	@"out"!(1 + 2) | @"ctl"!("ran")
lex	++	PlusPlus	value:{"ExprList":[{"ExprInt":1},{"ExprInt":2}]}	@"out"!([1] ++ [2]) | @"ctl"!("ran")
lex	-	Minus	value:{"ExprInt":2}	@"out"!(3 - 1) | @"ctl"!("ran")
lex	--	MinusMinus	value:{"ExprSet":[{"ExprInt":2}]}	@"out"!(Set(1, 2) -- Set(1)) | @"ctl"!("ran")
lex	<	Lt	value:{"ExprBool":false}	@"out"!(1 < 1) | @"ctl"!("ran")
lex	<=	Lte	value:{"ExprBool":true}	@"out"!(1 <= 1) | @"ctl"!("ran")
lex	>	Gt	value:{"ExprBool":false}	@"out"!(1 > 1) | @"ctl"!("ran")
lex	>=	Gte	value:{"ExprBool":true}	@"out"!(1 >= 1) | @"ctl"!("ran")
lex	==	EqEq	value:{"ExprBool":true}	@"out"!(1 == 1) | @"ctl"!("ran")
lex	!=	Neq	value:{"ExprBool":true}	@"out"!(1 != 2) | @"ctl"!("ran")
lex	<-	LArrow	answers:1	new c in { @"c"!(1) | for (x <- @"c") { @"out"!("read") } } | @"ctl"!("ran")
lex	<<-	LLArrow	answers:2	new c in { @"c"!(1) | for (x <<- @"c") { @"out"!("peek") } | for (y <<- @"c") { @"out"!("peek2") } } | @"ctl"!("ran")
